Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
S19_Fermented_maize_1	97.1922494146	51.0	199.997635337	87116.0	40.0
S19_Fermented_maize_2	97.2209467836	52.0	199.997577942	87116.0	40.0
S37_Fermented_Maiz_1	96.7020229634	50.0	199.987632586	91450.0	40.0
S37_Fermented_Maiz_2	96.8430836523	51.0	199.98006561	91450.0	40.0
S38_D_Maize_1	96.7752750391	50.0	199.985335386	80534.0	40.0
S38_D_Maize_2	96.7939007127	50.0	199.973837137	80534.0	40.0
S4_Ogi_1	96.7919663775	51.0	199.998940466	84943.0	40.0
S4_Ogi_2	97.1110038496	52.0	199.993960656	84943.0	40.0
S5_Mawe_1	97.4766747038	50.0	199.99990565	95390.0	40.0
S5_Mawe_2	97.6695670406	51.0	199.996760667	95390.0	40.0
S6_Mawe_1	97.5112050833	50.0	199.998260046	90807.0	40.0
S6_Mawe_2	97.7446672613	51.0	199.99837017	90807.0	40.0
